20144,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:-0.8355555555555556,ay:0.07222222222222222,az:0.29333333333333333,q:312.6875,rV:    60,lV:    60,Camera:0
20190,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.36777777777777776,ay:  0.13,az: -0.09,q: 312.5,rV:    60,lV:    60,Camera:0
20199,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:-0.09888888888888889,ay:-0.05444444444444444,az:0.09888888888888889,q:312.375,rV:    60,lV:    60,Camera:0
20252,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.9155555555555556,ay:0.13333333333333333,az:-0.16111111111111112,q:312.0625,rV:    60,lV:    60,Camera:0
20338,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.9411111111111111,ay:-0.31333333333333335,az:0.04111111111111111,q:311.9375,rV:    60,lV:    60,Camera:0
20437,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:  0.31,ay:-0.10333333333333333,az:0.2788888888888889,q:311.1875,rV:    60,lV:    60,Camera:0
20444,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.4222222222222222,ay:-36.28777777777778,az:0.17888888888888888,q:311.0625,rV:    60,lV:    60,Camera:0
20759,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.40555555555555556,ay:0.23666666666666666,az:0.12222222222222222,q:310.125,rV:    60,lV:    60,Camera:0
20840,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.014444444444444444,ay:-0.46555555555555556,az:  0.42,q: 309.0,rV:    60,lV:    60,Camera:0
20917,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:  0.57,ay:-0.30666666666666664,az:0.18666666666666668,q: 308.0,rV:    60,lV:    60,Camera:0
20995,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.7577777777777778,ay:0.5422222222222223,az:-0.0022222222222222222,q:307.5625,rV:    60,lV:    60,Camera:0
21107,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.2911111111111111,ay:-0.5166666666666667,az:0.2588888888888889,q: 306.5,rV:    60,lV:    60,Camera:0
21164,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.056666666666666664,ay:-0.2866666666666667,az:0.27666666666666667,q:305.125,rV:    60,lV:    60,Camera:0
21173,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.1922222222222222,ay:-0.09222222222222222,az:  0.32,q:304.9375,rV:    60,lV:    60,Camera:0
21218,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.10555555555555556,ay:0.10666666666666667,az:-0.17444444444444446,q:304.8125,rV:    60,lV:    60,Camera:0
21305,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.03333333333333333,ay:-0.31444444444444447,az:0.4288888888888889,q:304.25,rV:    60,lV:    60,Camera:0
21401,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.14666666666666667,ay:0.013333333333333334,az:0.13555555555555557,q:302.5625,rV:    60,lV:    60,Camera:0
21411,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.2288888888888889,ay:-0.6366666666666667,az:  0.18,q:302.375,rV:    70,lV:    50,Camera:0
21731,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.09777777777777778,ay:0.2866666666666667,az:0.8088888888888889,q:294.6875,rV:    70,lV:    50,Camera:0
21815,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:0.34555555555555556,ay:0.06111111111111111,az:0.6188888888888889,q:291.4375,rV:    70,lV:    50,Camera:0
21890,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:0.38555555555555554,ay:-0.5666666666666667,az:0.45666666666666667,q:289.25,rV:    70,lV:    50,Camera:0
21968,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:0.5766666666666667,ay:-0.056666666666666664,az:0.5066666666666667,q: 286.5,rV:    70,lV:    50,Camera:0
22077,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.11666666666666667,ay:0.08777777777777777,az:0.9077777777777778,q:282.5625,rV:    70,lV:    50,Camera:0
22117,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.2677777777777778,ay:-0.32555555555555554,az:0.5744444444444444,q:281.25,rV:    70,lV:    50,Camera:0
22126,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.4444444444444444,ay:0.15666666666666668,az:0.6588888888888889,q:280.875,rV:    70,lV:    50,Camera:0
22175,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:0.45222222222222225,ay:0.03777777777777778,az:0.3933333333333333,q:279.375,rV:    70,lV:    50,Camera:0
22255,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:  0.01,ay:-0.3322222222222222,az:0.7955555555555556,q:275.125,rV:    70,lV:    50,Camera:0
22353,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:0.29888888888888887,ay:-0.2544444444444444,az:0.6955555555555556,q:271.125,rV:    70,lV:    50,Camera:0
22364,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:0.5066666666666667,ay:-0.41333333333333333,az:0.6544444444444445,q:270.8125,rV:    60,lV:    60,Camera:0
22684,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:0.12444444444444444,ay:-0.10777777777777778,az:0.013333333333333334,q: 265.0,rV:    60,lV:    60,Camera:0
22767,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:0.021111111111111112,ay:-0.3277777777777778,az: -0.05,q:265.4375,rV:    60,lV:    60,Camera:0
22848,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:-0.7577777777777778,ay:-0.025555555555555557,az:0.15777777777777777,q: 265.5,rV:    60,lV:    60,Camera:0
22929,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax: -0.57,ay:-0.4722222222222222,az:0.37333333333333335,q:264.6875,rV:    60,lV:    60,Camera:0
23036,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:0.10333333333333333,ay:0.6144444444444445,az:0.29333333333333333,q: 262.5,rV:    60,lV:    60,Camera:0
23073,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax: -0.25,ay:0.5466666666666666,az:0.056666666666666664,q:262.3125,rV:    60,lV:    60,Camera:0
23086,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:-0.35777777777777775,ay:0.1688888888888889,az:0.043333333333333335,q:262.3125,rV:    60,lV:    60,Camera:0
23133,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:-0.24666666666666667,ay:-0.47888888888888886,az:0.08333333333333333,q:262.125,rV:    60,lV:    60,Camera:0
23223,state:6,Time:14:01:51,Lat:35.55489333,Lng:139.65561667,ax:0.035555555555555556,ay:1.1577777777777778,az:0.5155555555555555,q:261.5625,rV:    60,lV:    60,Camera:0
23334,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:-0.22777777777777777,ay:1.0166666666666666,az:0.043333333333333335,q:260.875,rV:    60,lV:    60,Camera:0
23341,state:6,Time:14:01:52,Lat:35.55489333,Lng:139.65561667,ax:-0.2411111111111111,ay:  0.73,az:-0.08444444444444445,q:260.9375,rV:    60,lV:    60,Camera:0
