19170,state:6,Time:13:42:39,Lat:35.55490833,Lng:139.65565667,ax:-0.10333333333333333,ay:0.10111111111111111,az:0.005555555555555556,q:357.8125,rV:    60,lV:    60,Camera:0
19258,state:6,Time:13:42:39,Lat:35.55490833,Lng:139.65565667,ax:0.06444444444444444,ay:-0.16111111111111112,az:0.057777777777777775,q:357.8125,rV:    60,lV:    60,Camera:0
19338,state:6,Time:13:42:39,Lat:35.55490833,Lng:139.65565667,ax:0.21222222222222223,ay:0.043333333333333335,az:-0.0033333333333333335,q:357.625,rV:    60,lV:    60,Camera:0
19384,state:6,Time:13:42:39,Lat:35.55490833,Lng:139.65565667,ax:0.16777777777777778,ay:-0.16555555555555557,az: -0.01,q:357.625,rV:    60,lV:    60,Camera:0
19396,state:6,Time:13:42:39,Lat:35.55490833,Lng:139.65565667,ax:0.18777777777777777,ay:-0.14444444444444443,az:-0.04666666666666667,q:357.625,rV:    60,lV:    60,Camera:0
19500,state:6,Time:13:42:39,Lat:35.55490833,Lng:139.65565667,ax:-0.05333333333333334,ay:0.06666666666666667,az:0.10444444444444445,q:357.4375,rV:    60,lV:    60,Camera:0
19509,state:6,Time:13:42:39,Lat:35.55490833,Lng:139.65565667,ax:-0.01888888888888889,ay: -0.11,az:  0.11,q:357.375,rV:    70,lV:    50,Camera:0
19834,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:-0.14777777777777779,ay:0.057777777777777775,az:-0.05444444444444444,q:357.6875,rV:    70,lV:    50,Camera:0
19883,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:-0.16666666666666666,ay:0.28444444444444444,az:0.12111111111111111,q:357.4375,rV:    70,lV:    50,Camera:0
19974,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:-0.09333333333333334,ay:0.07111111111111111,az:0.025555555555555557,q: 357.0,rV:    70,lV:    50,Camera:0
20020,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:0.0044444444444444444,ay:-0.05333333333333334,az:-0.14444444444444443,q:357.1875,rV:    70,lV:    50,Camera:0
20150,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:0.15444444444444444,ay:0.11444444444444445,az:-0.09777777777777778,q:356.8125,rV:    70,lV:    50,Camera:0
20229,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:0.15333333333333332,ay: -0.27,az: -0.33,q:357.8125,rV:    70,lV:    50,Camera:0
20306,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:-0.15333333333333332,ay:0.14333333333333334,az:-0.027777777777777776,q:358.6875,rV:    70,lV:    50,Camera:0
20354,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:0.006666666666666667,ay:0.02666666666666667,az:  0.16,q:358.375,rV:    70,lV:    50,Camera:0
20366,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:0.06888888888888889,ay:-0.006666666666666667,az:0.06666666666666667,q:358.3125,rV:    70,lV:    50,Camera:0
20465,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:0.07333333333333333,ay:0.18777777777777777,az: -0.04,q:359.125,rV:    70,lV:    50,Camera:0
20473,state:6,Time:13:42:40,Lat:35.55490833,Lng:139.65565667,ax:0.0811111111111111,ay:0.29555555555555557,az:-0.06111111111111111,q:359.125,rV:    70,lV:    50,Camera:0
20807,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:0.011111111111111112,ay:0.03777777777777778,az:0.2877777777777778,q: 358.0,rV:    70,lV:    50,Camera:0
20855,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:-0.008888888888888889,ay:0.057777777777777775,az:-0.0022222222222222222,q:357.8125,rV:    70,lV:    50,Camera:0
20944,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:-0.09111111111111111,ay:  0.14,az: -0.06,q:358.125,rV:    70,lV:    50,Camera:0
20996,state:6,Time:13:42:41,Lat:35.55490833,Lng:139.65565667,ax:-0.03111111111111111,ay:-0.24888888888888888,az:0.15222222222222223,q:357.9375,rV:    70,lV:    50,Camera:0
