5838,state:4,Time:13:43:33,Lat:35.55491000,Lng:139.65566000,ax:-0.011111111111111112,ay:0.05333333333333334,az:  0.06,q:   0.0,rV:     0,lV:     0,Camera:captured!
19629,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:0.38555555555555554,ay:-0.23777777777777778,az:-0.034444444444444444,q:287.25,rV:    60,lV:    60,Camera:0
19639,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:0.39444444444444443,ay:-0.10444444444444445,az:-0.04888888888888889,q:287.3125,rV:    60,lV:    60,Camera:0
19748,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax: -0.81,ay:-0.5655555555555556,az:0.2911111111111111,q:286.1875,rV:    60,lV:    60,Camera:0
19760,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:-0.8066666666666666,ay:-0.6722222222222223,az:  0.23,q:286.0625,rV:    60,lV:    60,Camera:0
19837,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:-0.7511111111111111,ay:  0.91,az:0.06333333333333334,q:286.25,rV:    60,lV:    60,Camera:0
19940,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:0.8622222222222222,ay:-0.14666666666666667,az:-0.06666666666666667,q:286.0625,rV:    60,lV:    60,Camera:0
19947,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:1.0633333333333332,ay:-0.13555555555555557,az:0.04666666666666667,q:285.9375,rV:    70,lV:    50,Camera:0
20222,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:-0.008888888888888889,ay:0.0033333333333333335,az:0.5711111111111111,q:279.9375,rV:    70,lV:    50,Camera:0
20308,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:0.14666666666666667,ay:0.06666666666666667,az:1.0044444444444445,q: 277.0,rV:    70,lV:    50,Camera:0
20424,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:-0.09111111111111111,ay:0.3277777777777778,az:  0.54,q:270.0625,rV:    70,lV:    50,Camera:0
20473,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:-0.6066666666666667,ay:-0.05333333333333334,az:0.6566666666666666,q:268.625,rV:    70,lV:    50,Camera:0
20560,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:-0.21333333333333335,ay:0.034444444444444444,az:  1.02,q: 264.0,rV:    70,lV:    50,Camera:0
20572,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:-0.19444444444444445,ay:-0.12444444444444444,az:0.9033333333333333,q: 263.0,rV:    70,lV:    50,Camera:0
20689,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:0.16777777777777778,ay:0.8411111111111111,az:0.3277777777777778,q:259.4375,rV:    70,lV:    50,Camera:0
20701,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:0.6577777777777778,ay:-0.057777777777777775,az:0.1288888888888889,q:259.3125,rV:    70,lV:    50,Camera:0
20789,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:-0.28444444444444444,ay:-0.5444444444444444,az:0.7188888888888889,q:257.125,rV:    70,lV:    50,Camera:0
20885,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:0.13666666666666666,ay:-0.39111111111111113,az:0.22666666666666666,q:254.5625,rV:    70,lV:    50,Camera:0
20892,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax:0.13666666666666666,ay:-0.39111111111111113,az:0.22666666666666666,q:254.4375,rV:    70,lV:    50,Camera:0
21200,state:6,Time:13:43:48,Lat:35.55491000,Lng:139.65566000,ax: -0.68,ay:-0.8444444444444444,az:0.9466666666666667,q:242.875,rV:    70,lV:    50,Camera:0
21290,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:-0.6444444444444445,ay:0.9522222222222222,az:0.6711111111111111,q:238.6875,rV:    70,lV:    50,Camera:0
21422,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:-1.0555555555555556,ay:-0.2511111111111111,az:  0.96,q:233.3125,rV:    70,lV:    50,Camera:0
21473,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:0.22333333333333333,ay:-0.4766666666666667,az:0.8133333333333334,q:230.625,rV:    70,lV:    50,Camera:0
21572,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:0.31555555555555553,ay:0.8188888888888889,az:0.9066666666666666,q:227.3125,rV:    70,lV:    50,Camera:0
21580,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:-0.005555555555555556,ay:0.3388888888888889,az:0.9388888888888889,q:226.8125,rV:    70,lV:    50,Camera:0
21706,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:0.40444444444444444,ay:0.5977777777777777,az:0.6455555555555555,q:220.3125,rV:    70,lV:    50,Camera:0
21714,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:0.40444444444444444,ay:0.5977777777777777,az:0.6455555555555555,q: 220.0,rV:    70,lV:    50,Camera:0
21807,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:0.35444444444444445,ay:0.07555555555555556,az:1.0222222222222221,q:215.9375,rV:    70,lV:    50,Camera:0
21902,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:-0.08888888888888889,ay:-0.6755555555555556,az:0.9111111111111111,q:212.375,rV:    70,lV:    50,Camera:0
21910,state:6,Time:13:43:49,Lat:35.55491000,Lng:139.65566000,ax:0.5655555555555556,ay:-0.28888888888888886,az:0.8277777777777777,q:211.9375,rV:    60,lV:    60,Camera:0
