5846,state:4,Time:13:58:33,Lat:35.55492500,Lng:139.65566000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
20016,state:6,Time:13:58:47,Lat:35.55491500,Lng:139.65565667,ax:0.3422222222222222,ay:-0.14444444444444443,az:0.4444444444444444,q: 1.125,rV:    70,lV:    50,Camera:0
20026,state:6,Time:13:58:47,Lat:35.55491500,Lng:139.65565667,ax:0.06333333333333334,ay:-0.2877777777777778,az:0.6711111111111111,q:  0.75,rV:    70,lV:    50,Camera:0
20118,state:6,Time:13:58:47,Lat:35.55491500,Lng:139.65565667,ax:-0.5066666666666667,ay:0.25222222222222224,az:0.6733333333333333,q:357.75,rV:    70,lV:    50,Camera:0
20230,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:0.6933333333333334,ay:-0.5388888888888889,az:0.6677777777777778,q: 355.0,rV:    70,lV:    50,Camera:0
20309,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:  -0.1,ay:0.6544444444444445,az:0.44333333333333336,q:352.0625,rV:    70,lV:    50,Camera:0
20436,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:-0.4777777777777778,ay:-0.6655555555555556,az:0.8388888888888889,q:346.5625,rV:    70,lV:    50,Camera:0
20442,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:-0.4777777777777778,ay:-0.6655555555555556,az:0.8388888888888889,q:346.0625,rV:    60,lV:    60,Camera:0
20744,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:0.4633333333333333,ay:0.2544444444444444,az:0.015555555555555555,q:344.625,rV:    60,lV:    60,Camera:0
20786,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:-0.043333333333333335,ay:-0.5677777777777778,az:-0.11444444444444445,q:344.5625,rV:    60,lV:    60,Camera:0
20795,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:-0.043333333333333335,ay:-0.5677777777777778,az:-0.11444444444444445,q:344.625,rV:    60,lV:    60,Camera:0
20879,state:6,Time:13:58:48,Lat:35.55491333,Lng:139.65565667,ax:0.3188888888888889,ay:-0.03888888888888889,az:-0.11222222222222222,q:344.875,rV:    60,lV:    60,Camera:0
