5796,state:4,Time:14:19:38,Lat:35.55487667,Lng:139.65567500,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
30777,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:0.0022222222222222222,ay:  -0.1,az:0.0077777777777777776,q:333.375,rV:    60,lV:    60,Camera:0
30847,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.8266666666666667,ay:0.14333333333333334,az:0.7744444444444445,q:331.5625,rV:    60,lV:    60,Camera:0
30926,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.7233333333333334,ay:0.5855555555555556,az:0.05555555555555555,q:330.4375,rV:    60,lV:    60,Camera:0
30979,state:6,Time:14:20:03,Lat:35.55485333,Lng:139.65560167,ax:-0.21444444444444444,ay:0.33111111111111113,az:-0.18555555555555556,q:331.0625,rV:    60,lV:    60,Camera:0
31106,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:0.5933333333333334,ay:-0.1811111111111111,az:-0.27555555555555555,q:331.3125,rV:    60,lV:    60,Camera:0
31148,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:-0.07444444444444444,ay:  0.01,az:0.09555555555555556,q:331.4375,rV:    60,lV:    60,Camera:0
31258,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:0.17444444444444446,ay:0.9733333333333334,az:-0.25333333333333335,q:331.8125,rV:    60,lV:    60,Camera:0
31266,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:0.8911111111111111,ay:-0.09666666666666666,az: -0.25,q: 332.0,rV:    50,lV:    70,Camera:0
31598,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:-1.1722222222222223,ay:0.23333333333333334,az:-0.8922222222222222,q:338.5625,rV:    50,lV:    70,Camera:0
31708,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:0.7188888888888889,ay:-0.21777777777777776,az:-0.4166666666666667,q:342.625,rV:    50,lV:    70,Camera:0
31716,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:1.0022222222222221,ay: -0.18,az:-0.3977777777777778,q:342.875,rV:    50,lV:    70,Camera:0
31794,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:-0.8622222222222222,ay:0.31333333333333335,az:-0.0811111111111111,q:343.5625,rV:    50,lV:    70,Camera:0
31877,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:-0.7822222222222223,ay:-0.3277777777777778,az: -0.49,q:345.0625,rV:    50,lV:    70,Camera:0
31958,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:-0.09111111111111111,ay:0.35888888888888887,az:-1.4622222222222223,q:350.25,rV:    50,lV:    70,Camera:0
32011,state:6,Time:14:20:04,Lat:35.55485500,Lng:139.65559333,ax:0.1388888888888889,ay:0.25555555555555554,az:-0.4111111111111111,q:352.6875,rV:    50,lV:    70,Camera:0
32130,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:0.7322222222222222,ay:0.07777777777777778,az:-0.7777777777777778,q:357.3125,rV:    50,lV:    70,Camera:0
32177,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:0.05333333333333334,ay:-0.1688888888888889,az:-0.8088888888888889,q:359.4375,rV:    50,lV:    70,Camera:0
32293,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:-0.6188888888888889,ay:-0.09111111111111111,az:-0.5933333333333334,q: 4.375,rV:    50,lV:    70,Camera:0
32303,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:0.013333333333333334,ay:0.2222222222222222,az:-0.6055555555555555,q:  4.75,rV:    60,lV:    60,Camera:0
32611,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:-0.6244444444444445,ay:-0.7655555555555555,az: -0.55,q:  6.75,rV:    60,lV:    60,Camera:0
32717,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:0.21222222222222223,ay:-0.3477777777777778,az:-0.06888888888888889,q:8.0625,rV:    60,lV:    60,Camera:0
32726,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:0.7088888888888889,ay:-0.21333333333333335,az:-0.035555555555555556,q:8.0625,rV:    60,lV:    60,Camera:0
32816,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:0.19666666666666666,ay: -0.16,az:0.2922222222222222,q: 7.375,rV:    60,lV:    60,Camera:0
32903,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:-0.5155555555555555,ay:  0.03,az:-0.08222222222222222,q:6.8125,rV:    60,lV:    60,Camera:0
32984,state:6,Time:14:20:05,Lat:35.55485500,Lng:139.65558667,ax:0.33444444444444443,ay:0.6766666666666666,az:-0.4488888888888889,q:8.5625,rV:    60,lV:    60,Camera:0
33033,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax: -0.27,ay:0.6922222222222222,az:-0.023333333333333334,q:9.0625,rV:    60,lV:    60,Camera:0
33159,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax: -0.19,ay:0.6388888888888888,az:0.35444444444444445,q:  8.25,rV:    60,lV:    60,Camera:0
33205,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:-0.3788888888888889,ay:0.08444444444444445,az:0.09555555555555556,q:7.6875,rV:    60,lV:    60,Camera:0
33325,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:0.26555555555555554,ay:-0.12777777777777777,az:-0.47333333333333333,q:9.5625,rV:    60,lV:    60,Camera:0
33336,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax: -0.09,ay:0.13444444444444445,az:-0.09777777777777778,q:9.5625,rV:    50,lV:    70,Camera:0
33655,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:-0.6311111111111111,ay:  0.16,az:-0.20666666666666667,q:16.3125,rV:    50,lV:    70,Camera:0
33765,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:0.021111111111111112,ay:0.08333333333333333,az:-0.8811111111111111,q:20.0625,rV:    50,lV:    70,Camera:0
33774,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:-0.30777777777777776,ay:0.43666666666666665,az:-0.9155555555555556,q:20.5625,rV:    50,lV:    70,Camera:0
33852,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:-0.43333333333333335,ay:-0.5144444444444445,az:-1.2166666666666666,q:25.5625,rV:    50,lV:    70,Camera:0
33940,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:-0.0011111111111111111,ay:-0.2411111111111111,az:-0.7622222222222222,q:29.9375,rV:    50,lV:    70,Camera:0
34024,state:6,Time:14:20:06,Lat:35.55485000,Lng:139.65558500,ax:0.04888888888888889,ay:  0.19,az:-0.47555555555555556,q:32.4375,rV:    50,lV:    70,Camera:0
34073,state:6,Time:14:20:07,Lat:35.55484667,Lng:139.65558833,ax:-0.04777777777777778,ay:0.2877777777777778,az:-0.7022222222222222,q:33.8125,rV:    50,lV:    70,Camera:0
34200,state:6,Time:14:20:07,Lat:35.55484667,Lng:139.65558833,ax:0.5133333333333333,ay:0.23555555555555555,az:-0.6833333333333333,q:39.375,rV:    50,lV:    70,Camera:0
34248,state:6,Time:14:20:07,Lat:35.55484667,Lng:139.65558833,ax:-0.31222222222222223,ay:0.28555555555555556,az: -0.65,q:41.3125,rV:    50,lV:    70,Camera:0
