5796,state:4,Time:14:19:38,Lat:35.55487667,Lng:139.65567500,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
20459,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.20666666666666667,ay:-1.5144444444444445,az:0.25666666666666665,q:43.1875,rV:    60,lV:    60,Camera:0
20550,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.9244444444444444,ay:0.6311111111111111,az:0.26555555555555554,q:41.875,rV:    60,lV:    60,Camera:0
20604,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.47888888888888886,ay:0.6877777777777778,az:-0.1111111111111111,q:42.1875,rV:    60,lV:    60,Camera:0
20722,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.06888888888888889,ay:0.21666666666666667,az:-0.21222222222222223,q: 43.25,rV:    60,lV:    60,Camera:0
20769,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.17333333333333334,ay:0.3244444444444444,az:-0.06666666666666667,q: 43.75,rV:    60,lV:    60,Camera:0
20873,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:0.1922222222222222,ay:0.13111111111111112,az:-0.22555555555555556,q:43.875,rV:    60,lV:    60,Camera:0
20879,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:0.1922222222222222,ay:0.13111111111111112,az:-0.22555555555555556,q:43.875,rV:    60,lV:    60,Camera:0
21198,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:-0.3188888888888889,ay:-0.8833333333333333,az:-0.2222222222222222,q:46.4375,rV:    60,lV:    60,Camera:0
21321,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:0.6477777777777778,ay:-0.6188888888888889,az:-0.21888888888888888,q:48.1875,rV:    60,lV:    60,Camera:0
21331,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:0.4822222222222222,ay:-0.48777777777777775,az:-0.0811111111111111,q:48.1875,rV:    60,lV:    60,Camera:0
21423,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:-0.2911111111111111,ay:-0.03888888888888889,az:0.21777777777777776,q: 47.25,rV:    60,lV:    60,Camera:0
21515,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:-0.5122222222222222,ay:0.4255555555555556,az:-0.04666666666666667,q:47.4375,rV:    60,lV:    60,Camera:0
21598,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:-0.014444444444444444,ay:0.08222222222222222,az:-0.10777777777777778,q:48.5625,rV:    60,lV:    60,Camera:0
21654,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:-0.38222222222222224,ay:0.03222222222222222,az:0.19333333333333333,q:48.375,rV:    60,lV:    60,Camera:0
21773,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:0.04888888888888889,ay:0.35333333333333333,az:-0.2011111111111111,q:49.3125,rV:    60,lV:    60,Camera:0
21822,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:0.05333333333333334,ay:  0.42,az:0.29333333333333333,q:  49.0,rV:    60,lV:    60,Camera:0
21930,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:-0.07444444444444444,ay:  0.83,az:0.2288888888888889,q:48.6875,rV:    60,lV:    60,Camera:0
21937,state:6,Time:14:19:54,Lat:35.55486833,Lng:139.65563500,ax:0.04111111111111111,ay:-0.08777777777777777,az:0.41888888888888887,q:  48.5,rV:    70,lV:    50,Camera:0
22263,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:0.3522222222222222,ay:-0.7222222222222222,az:0.47444444444444445,q:38.9375,rV:    70,lV:    50,Camera:0
22383,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-0.47444444444444445,ay:0.056666666666666664,az:0.8322222222222222,q: 34.75,rV:    70,lV:    50,Camera:0
22391,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-0.35555555555555557,ay:0.03666666666666667,az:  0.86,q:34.3125,rV:    70,lV:    50,Camera:0
22478,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:0.09333333333333334,ay:0.08777777777777777,az:0.5633333333333334,q:31.1875,rV:    70,lV:    50,Camera:0
22561,state:6,Time:14:19:55,Lat:35.55486833,Lng:139.65562833,ax:-0.16777777777777778,ay:-0.39666666666666667,az:0.5944444444444444,q:29.125,rV:    70,lV:    50,Camera:0
