5810,state:4,Time:13:45:37,Lat:35.55491500,Lng:139.65560667,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0044444444444444444,q:   0.0,rV:     0,lV:     0,Camera:captured!
20403,state:6,Time:13:45:51,Lat:35.55492667,Lng:139.65560167,ax:-0.48777777777777775,ay:0.08555555555555555,az:   0.3,q: 53.75,rV:    60,lV:    60,Camera:0
20446,state:6,Time:13:45:51,Lat:35.55492667,Lng:139.65560167,ax:0.6722222222222223,ay:-0.19444444444444445,az:0.042222222222222223,q:  53.5,rV:    60,lV:    60,Camera:0
20538,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax: -0.21,ay:0.2733333333333333,az:0.028888888888888888,q:  53.5,rV:    60,lV:    60,Camera:0
20631,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:0.017777777777777778,ay:0.14444444444444443,az:-0.11888888888888889,q:53.5625,rV:    60,lV:    60,Camera:0
20639,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:0.14444444444444443,ay:-0.03777777777777778,az: -0.16,q:53.6875,rV:    60,lV:    60,Camera:0
20743,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:0.13444444444444445,ay:-0.052222222222222225,az: -0.16,q:54.5625,rV:    60,lV:    60,Camera:0
20754,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:0.6166666666666667,ay:1.1177777777777778,az:-0.2222222222222222,q:54.6875,rV:    60,lV:    60,Camera:0
21088,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:-0.03222222222222222,ay:-0.7388888888888889,az:0.28444444444444444,q:53.875,rV:    60,lV:    60,Camera:0
21210,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:-1.0166666666666666,ay:-0.2688888888888889,az:0.058888888888888886,q:54.125,rV:    60,lV:    60,Camera:0
21298,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:-0.04555555555555556,ay:0.2011111111111111,az:-0.03777777777777778,q:54.1875,rV:    60,lV:    60,Camera:0
21341,state:6,Time:13:45:52,Lat:35.55492833,Lng:139.65560167,ax:-0.21555555555555556,ay:0.8377777777777777,az:0.005555555555555556,q:54.6875,rV:    60,lV:    60,Camera:0
21463,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:-0.0044444444444444444,ay:-0.5933333333333334,az:-0.034444444444444444,q:55.0625,rV:    60,lV:    60,Camera:0
21518,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:0.056666666666666664,ay:-0.022222222222222223,az:-0.07222222222222222,q:55.4375,rV:    60,lV:    60,Camera:0
21616,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:-0.5944444444444444,ay:0.46444444444444444,az:-0.31666666666666665,q:56.375,rV:    60,lV:    60,Camera:0
21702,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:-0.3333333333333333,ay:  -0.1,az:-0.09333333333333334,q:58.1875,rV:    60,lV:    60,Camera:0
21712,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:-0.0011111111111111111,ay:-0.8033333333333333,az:0.10111111111111111,q:58.125,rV:    60,lV:    60,Camera:0
21815,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:  0.34,ay:-0.11666666666666667,az:0.35888888888888887,q:56.8125,rV:    60,lV:    60,Camera:0
21824,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:0.19111111111111112,ay: -0.28,az:0.3277777777777778,q:56.625,rV:    60,lV:    60,Camera:0
22147,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:  0.11,ay:0.03666666666666667,az:-0.15777777777777777,q:55.6875,rV:    60,lV:    60,Camera:0
22260,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:0.3566666666666667,ay:-0.33666666666666667,az:-0.5366666666666666,q:57.3125,rV:    60,lV:    60,Camera:0
22345,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:0.2833333333333333,ay:0.18333333333333332,az:-0.12555555555555556,q:58.125,rV:    60,lV:    60,Camera:0
22397,state:6,Time:13:45:53,Lat:35.55492833,Lng:139.65560167,ax:  0.59,ay:-0.44333333333333336,az:-0.24888888888888888,q:58.625,rV:    60,lV:    60,Camera:0
22527,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:-0.32666666666666666,ay:0.33111111111111113,az:-0.06111111111111111,q:60.375,rV:    60,lV:    60,Camera:0
22569,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:0.39444444444444443,ay:0.8144444444444444,az:-0.04111111111111111,q:60.6875,rV:    60,lV:    60,Camera:0
22667,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:-0.3522222222222222,ay:-0.15555555555555556,az: -0.15,q:  61.0,rV:    60,lV:    60,Camera:0
22751,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:-0.28444444444444444,ay:0.22111111111111112,az:-0.09222222222222222,q:61.6875,rV:    60,lV:    60,Camera:0
22764,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:-0.3933333333333333,ay:-0.2822222222222222,az:0.07777777777777778,q:61.625,rV:    60,lV:    60,Camera:0
22869,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:-0.18555555555555556,ay:-0.2288888888888889,az:-0.024444444444444446,q: 61.25,rV:    60,lV:    60,Camera:0
22879,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:0.2288888888888889,ay:0.6933333333333334,az:0.015555555555555555,q: 61.25,rV:    50,lV:    70,Camera:0
23221,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:-0.14222222222222222,ay:-0.37666666666666665,az:-0.7344444444444445,q:69.9375,rV:    50,lV:    70,Camera:0
23336,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:0.11666666666666667,ay:-0.022222222222222223,az:-0.6677777777777778,q:74.6875,rV:    50,lV:    70,Camera:0
23423,state:6,Time:13:45:54,Lat:35.55493000,Lng:139.65560333,ax:-0.22111111111111112,ay:0.7722222222222223,az:-0.5844444444444444,q:  77.5,rV:    50,lV:    70,Camera:0
23478,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:-0.18777777777777777,ay:-0.5888888888888889,az:-0.6355555555555555,q:79.1875,rV:    50,lV:    70,Camera:0
23603,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:0.15444444444444444,ay:-0.27111111111111114,az:-1.1288888888888888,q:84.1875,rV:    50,lV:    70,Camera:0
23654,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:1.0244444444444445,ay:0.22777777777777777,az:-1.3133333333333332,q:87.8125,rV:    50,lV:    70,Camera:0
23751,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:0.2833333333333333,ay:0.04555555555555556,az:-0.44222222222222224,q:90.3125,rV:    50,lV:    70,Camera:0
23841,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:  0.18,ay:1.6522222222222223,az:-0.13333333333333333,q:91.4375,rV:    50,lV:    70,Camera:0
23849,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:0.27666666666666667,ay:1.6755555555555555,az:-0.18555555555555556,q:91.5625,rV:    50,lV:    70,Camera:0
23955,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:0.8888888888888888,ay:-0.03666666666666667,az:-0.4588888888888889,q:94.5625,rV:    50,lV:    70,Camera:0
23965,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax: -0.08,ay:-0.22555555555555556,az:-0.15666666666666668,q:  94.5,rV:    50,lV:    70,Camera:0
24294,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:0.36666666666666664,ay:-0.07777777777777778,az:-0.7477777777777778,q:105.1875,rV:    50,lV:    70,Camera:0
24407,state:6,Time:13:45:55,Lat:35.55493167,Lng:139.65560333,ax:0.17555555555555555,ay:0.15222222222222223,az:-0.7244444444444444,q:110.625,rV:    50,lV:    70,Camera:0
24495,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:  0.45,ay:0.20555555555555555,az:-0.5222222222222223,q:113.3125,rV:    50,lV:    70,Camera:0
24545,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:0.2577777777777778,ay:0.09888888888888889,az:-0.13666666666666666,q:113.6875,rV:    50,lV:    70,Camera:0
24669,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:-0.6555555555555556,ay:0.14333333333333334,az:-0.6577777777777778,q:118.3125,rV:    50,lV:    70,Camera:0
24713,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:-0.7977777777777778,ay:0.3566666666666667,az:-0.8577777777777778,q:120.4375,rV:    50,lV:    70,Camera:0
24809,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:0.08666666666666667,ay:0.6344444444444445,az:-0.6511111111111111,q:125.625,rV:    50,lV:    70,Camera:0
24898,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:1.3177777777777777,ay:  0.34,az:-0.6077777777777778,q:128.8125,rV:    50,lV:    70,Camera:0
24906,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:0.8155555555555556,ay:-0.4255555555555556,az:-0.7444444444444445,q:129.1875,rV:    50,lV:    70,Camera:0
25007,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:-0.29444444444444445,ay:0.7022222222222222,az:-0.6033333333333334,q:133.375,rV:    50,lV:    70,Camera:0
25017,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:  0.11,ay:0.8777777777777778,az:-0.6166666666666667,q:133.6875,rV:    50,lV:    70,Camera:0
25337,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:0.19111111111111112,ay: -0.11,az:-1.0122222222222221,q:142.0625,rV:    50,lV:    70,Camera:0
25449,state:6,Time:13:45:56,Lat:35.55493167,Lng:139.65560333,ax:0.9044444444444445,ay:0.48444444444444446,az:-0.9266666666666666,q:146.4375,rV:    50,lV:    70,Camera:0
25540,state:6,Time:13:45:57,Lat:35.55493333,Lng:139.65560333,ax:0.1988888888888889,ay:   0.0,az:-0.4622222222222222,q:149.25,rV:    50,lV:    70,Camera:0
