5792,state:4,Time:13:38:43,Lat:35.55494500,Lng:139.65563167,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:captured!
20447,state:6,Time:13:38:57,Lat:35.55492000,Lng:139.65560833,ax: -0.76,ay:-0.017777777777777778,az:-0.3433333333333333,q:  77.0,rV:    50,lV:    70,Camera:0
20531,state:6,Time:13:38:57,Lat:35.55492000,Lng:139.65560833,ax:0.011111111111111112,ay:-0.17888888888888888,az:-0.7333333333333333,q:79.125,rV:    50,lV:    70,Camera:0
20571,state:6,Time:13:38:57,Lat:35.55492000,Lng:139.65560833,ax:0.18666666666666668,ay:  0.43,az:-0.9588888888888889,q:80.9375,rV:    50,lV:    70,Camera:0
20624,state:6,Time:13:38:57,Lat:35.55492000,Lng:139.65560833,ax:  0.22,ay:0.1622222222222222,az:-0.5811111111111111,q:83.3125,rV:    50,lV:    70,Camera:0
20637,state:6,Time:13:38:57,Lat:35.55492000,Lng:139.65560833,ax:-0.011111111111111112,ay:-0.1288888888888889,az:-0.8655555555555555,q: 83.75,rV:    50,lV:    70,Camera:0
20734,state:6,Time:13:38:57,Lat:35.55492000,Lng:139.65560833,ax:-0.9444444444444444,ay:0.3522222222222222,az:-0.4677777777777778,q:86.625,rV:    50,lV:    70,Camera:0
20740,state:6,Time:13:38:57,Lat:35.55492000,Lng:139.65560833,ax:-0.09555555555555556,ay:0.4955555555555556,az: -0.61,q:  87.0,rV:    50,lV:    70,Camera:0
21052,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:-0.3422222222222222,ay:-0.18444444444444444,az:-0.7388888888888889,q:98.8125,rV:    50,lV:    70,Camera:0
21170,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:-0.10555555555555556,ay:-0.01888888888888889,az:-0.9044444444444445,q:104.125,rV:    50,lV:    70,Camera:0
21286,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:0.8733333333333333,ay:0.3655555555555556,az:-0.8422222222222222,q:110.375,rV:    50,lV:    70,Camera:0
21379,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:-0.28888888888888886,ay:0.3522222222222222,az:-0.7711111111111111,q:113.8125,rV:    50,lV:    70,Camera:0
21464,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:0.0044444444444444444,ay:0.08222222222222222,az: -0.56,q: 116.5,rV:    50,lV:    70,Camera:0
21547,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:-0.023333333333333334,ay:-0.7211111111111111,az:-0.8755555555555555,q:119.8125,rV:    50,lV:    70,Camera:0
21596,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:-0.2866666666666667,ay:-0.18666666666666668,az:-0.4855555555555556,q:121.25,rV:    50,lV:    70,Camera:0
21651,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:-0.6655555555555556,ay:0.24222222222222223,az:-0.4822222222222222,q:122.625,rV:    50,lV:    70,Camera:0
21661,state:6,Time:13:38:58,Lat:35.55491833,Lng:139.65560500,ax:-0.21777777777777776,ay:0.5711111111111111,az:-0.6644444444444444,q: 123.0,rV:    50,lV:    70,Camera:0
21773,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:-0.5277777777777778,ay:0.22444444444444445,az:-0.5111111111111111,q:128.1875,rV:    50,lV:    70,Camera:0
21782,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax: -0.74,ay:-1.0033333333333334,az:-0.15444444444444444,q:128.25,rV:    50,lV:    70,Camera:0
22110,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:-0.6011111111111112,ay:0.17222222222222222,az:-0.33666666666666667,q:139.5625,rV:    50,lV:    70,Camera:0
22225,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:1.1466666666666667,ay:0.13333333333333333,az:-0.8966666666666666,q:143.0625,rV:    50,lV:    70,Camera:0
22339,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:0.6133333333333333,ay:0.7811111111111111,az:-0.6566666666666666,q: 147.5,rV:    50,lV:    70,Camera:0
22419,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:0.6811111111111111,ay:-0.7144444444444444,az:-0.7022222222222222,q:151.0625,rV:    50,lV:    70,Camera:0
22503,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:0.3522222222222222,ay:0.5555555555555556,az:-0.5922222222222222,q:153.6875,rV:    50,lV:    70,Camera:0
22585,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:-0.6144444444444445,ay:-0.24222222222222223,az:-0.3466666666666667,q: 156.0,rV:    50,lV:    70,Camera:0
22632,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:-0.0033333333333333335,ay:0.3244444444444444,az:-0.7466666666666667,q:157.75,rV:    50,lV:    70,Camera:0
22687,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:0.7244444444444444,ay:0.2411111111111111,az:-0.9955555555555555,q:159.8125,rV:    50,lV:    70,Camera:0
22696,state:6,Time:13:38:59,Lat:35.55491667,Lng:139.65560333,ax:0.3566666666666667,ay:0.37444444444444447,az: -0.85,q:160.3125,rV:    50,lV:    70,Camera:0
