6183,state:4,Time:13:17:49,Lat:35.55488000,Lng:139.65572167,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:captured!
19688,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:0.13111111111111112,ay:1.4044444444444444,az:0.6355555555555555,q:298.0625,rV:    70,lV:    50,Camera:0
19808,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:-0.9522222222222222,ay:0.5055555555555555,az:  0.59,q:294.6875,rV:    70,lV:    50,Camera:0
19887,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:-0.5344444444444445,ay:-1.1077777777777778,az:0.8077777777777778,q:291.8125,rV:    70,lV:    50,Camera:0
19938,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:0.2777777777777778,ay:-1.1133333333333333,az:0.14333333333333334,q:290.8125,rV:    70,lV:    50,Camera:0
20028,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:1.2944444444444445,ay:0.08666666666666667,az:0.4722222222222222,q:287.6875,rV:    70,lV:    50,Camera:0
20125,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:  1.11,ay:0.2111111111111111,az:1.281111111111111,q:282.6875,rV:    70,lV:    50,Camera:0
20136,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:0.43333333333333335,ay:-0.6788888888888889,az:1.3155555555555556,q:282.0625,rV:    60,lV:    60,Camera:0
20421,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:-0.4066666666666667,ay:0.4633333333333333,az:  0.24,q: 277.0,rV:    60,lV:    60,Camera:0
20527,state:6,Time:13:18:03,Lat:35.55488167,Lng:139.65571000,ax:-0.06555555555555556,ay:0.24222222222222223,az:0.011111111111111112,q:276.4375,rV:    60,lV:    60,Camera:0
20575,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax: -0.27,ay:  0.12,az:0.24555555555555555,q: 276.5,rV:    60,lV:    60,Camera:0
20666,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:-0.5522222222222222,ay:-0.16333333333333333,az:  0.56,q:275.125,rV:    60,lV:    60,Camera:0
20710,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:1.2266666666666666,ay:-0.5755555555555556,az:-0.08333333333333333,q:274.8125,rV:    60,lV:    60,Camera:0
20828,state:6,Time:13:18:04,Lat:35.55488167,Lng:139.65570833,ax:-1.1133333333333333,ay:-0.32666666666666666,az:0.49777777777777776,q: 274.5,rV:    60,lV:    60,Camera:0
